,FILM,STARS,RATING,VOTES,YEAR,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count,Rotten_Diff,RT_NORM,RT__USER_NORM,META_NORM,META_USER_NORM,IMDB_NORM
75,The Woman In Black 2 Angel of Death (2015),3.0,3.0,1333,2015,22,25,42,4.4,4.9,55,14873,-3,1.1,1.2,2.1,2.2,2.4
76,Still Alice (2015),4.5,4.1,1258,2015,88,85,72,7.8,7.5,153,57123,3,4.4,4.2,3.6,3.9,3.8
77,Seventh Son (2015),3.5,3.2,1213,2015,12,35,30,3.9,5.5,126,41177,-23,0.6,1.8,1.5,2.0,2.8
78,Mortdecai (2015),3.5,3.2,1196,2015,12,30,27,3.2,5.5,144,31878,-18,0.6,1.5,1.4,1.6,2.8
79,Strange Magic (2015),3.5,3.4,1117,2015,17,50,25,5.3,5.7,41,3658,-33,0.8,2.5,1.2,2.6,2.8
80,Inherent Vice (2014),3.0,2.9,1078,2014,73,52,81,7.4,6.7,286,44711,21,3.6,2.6,4.0,3.7,3.4
81,Hot Tub Time Machine 2 (2015),3.5,3.0,1021,2015,14,28,29,3.4,5.1,88,19560,-14,0.7,1.4,1.4,1.7,2.6
82,The Gunman (2015),3.5,3.4,996,2015,17,34,39,4.3,5.8,49,16663,-17,0.8,1.7,2.0,2.2,2.9
83,Sinister 2 (2015),3.5,3.3,973,2015,13,34,31,5.0,5.5,37,3200,-21,0.6,1.7,1.6,2.5,2.8
84,Hitman: Agent 47 (2015),4.0,3.9,917,2015,7,49,28,3.3,5.9,67,4260,-42,0.4,2.4,1.4,1.6,3.0
85,Shaun the Sheep Movie (2015),4.5,4.0,896,2015,99,82,81,8.8,7.4,62,12227,17,5.0,4.1,4.0,4.4,3.7
86,Love & Mercy (2015),4.5,4.0,864,2015,89,87,80,8.5,7.8,54,5367,2,4.4,4.4,4.0,4.2,3.9
87,Unfinished Business (2015),3.5,3.2,821,2015,11,27,32,3.8,5.4,39,14346,-16,0.6,1.4,1.6,1.9,2.7
88,The Loft (2015),4.0,3.6,811,2015,11,40,24,2.4,6.3,80,21319,-29,0.6,2.0,1.2,1.2,3.2
89,Little Boy (2015),4.5,4.3,811,2015,20,81,30,5.9,7.4,38,5927,-61,1.0,4.0,1.5,3.0,3.7
90,Far From The Madding Crowd (2015),4.5,4.0,804,2015,84,77,71,7.5,7.2,35,12129,7,4.2,3.8,3.6,3.8,3.6
91,Amy (2015),4.5,4.4,729,2015,97,91,85,8.8,8.0,60,5630,6,4.8,4.6,4.2,4.4,4.0
92,Monkey Kingdom (2015),4.5,4.2,701,2015,94,77,72,7.5,7.3,15,883,17,4.7,3.8,3.6,3.8,3.6
93,A Most Violent Year (2014),3.5,3.4,675,2014,90,69,79,7.0,7.1,133,32166,21,4.5,3.4,4.0,3.5,3.6
94,American Ultra (2015),4.0,3.7,638,2015,46,52,50,6.8,6.5,42,3017,-6,2.3,2.6,2.5,3.4,3.2
95,Me and Earl and The Dying Girl (2015),4.5,4.3,624,2015,81,89,74,8.4,8.2,41,5269,-8,4.0,4.4,3.7,4.2,4.1
96,True Story (2015),3.5,3.2,540,2015,45,41,50,5.7,6.3,37,16069,4,2.2,2.0,2.5,2.8,3.2
97,Danny Collins (2015),4.0,4.0,531,2015,77,75,58,7.1,7.1,33,11206,2,3.8,3.8,2.9,3.6,3.6
98,Cake (2015),3.5,3.4,482,2015,49,47,49,6.4,6.5,44,19627,2,2.4,2.4,2.4,3.2,3.2
99,Spare Parts (2015),4.5,4.5,450,2015,52,83,50,7.1,7.2,7,47377,-31,2.6,4.2,2.5,3.6,3.6
100,While We're Young (2015),3.0,2.9,449,2015,83,52,76,6.7,6.4,65,17647,31,4.2,2.6,3.8,3.4,3.2
101,The Water Diviner (2015),4.5,4.0,397,2015,63,62,50,6.8,7.2,34,39373,1,3.2,3.1,2.5,3.4,3.6
102,Child 44 (2015),4.0,3.7,308,2015,26,44,41,5.3,6.4,73,19220,-18,1.3,2.2,2.0,2.6,3.2
103,Mr. Turner (2014),3.5,3.2,290,2014,98,56,94,6.6,6.9,98,13296,42,4.9,2.8,4.7,3.3,3.4
104,I'll See You In My Dreams (2015),4.0,3.6,281,2015,94,70,75,6.9,6.9,14,1151,24,4.7,3.5,3.8,3.4,3.4
105,What We Do in the Shadows (2015),4.5,4.3,259,2015,96,86,75,8.3,7.6,69,39561,10,4.8,4.3,3.8,4.2,3.8
106,Irrational Man (2015),4.0,3.5,252,2015,42,53,53,7.6,6.9,17,2680,-11,2.1,2.6,2.6,3.8,3.4
107,Wild Tales (2014),4.5,4.1,235,2014,96,92,77,8.8,8.2,107,50285,4,4.8,4.6,3.8,4.4,4.1
108,Black Sea (2015),4.0,3.5,218,2015,82,60,62,6.6,6.4,37,16547,22,4.1,3.0,3.1,3.3,3.2
109,The Vatican Tapes (2015),3.0,2.9,210,2015,13,21,37,5.4,4.6,5,952,-8,0.6,1.0,1.8,2.7,2.3
110,'71 (2015),3.5,3.5,192,2015,97,82,83,7.5,7.2,60,24116,15,4.8,4.1,4.2,3.8,3.6
111,Clouds of Sils Maria (2015),3.5,3.4,162,2015,89,67,78,7.1,6.8,36,11392,22,4.4,3.4,3.9,3.6,3.4
112,Testament of Youth (2015),4.0,3.9,127,2015,81,79,77,7.9,7.3,15,5495,2,4.0,4.0,3.8,4.0,3.6
113,Infinitely Polar Bear (2015),4.0,3.9,124,2015,80,76,64,7.9,7.2,8,1062,4,4.0,3.8,3.2,4.0,3.6
114,The End of the Tour (2015),4.5,4.1,121,2015,92,89,84,7.5,7.9,19,1320,3,4.6,4.4,4.2,3.8,4.0
115,"Two Days, One Night (2014)",3.5,3.5,118,2014,97,78,89,8.8,7.4,123,24345,19,4.8,3.9,4.4,4.4,3.7
116,The Overnight (2015),3.5,3.3,110,2015,82,65,65,8.6,6.9,13,867,17,4.1,3.2,3.2,4.3,3.4
117,The Last Five Years (2015),4.5,4.4,99,2015,60,60,60,6.9,6.0,20,4110,0,3.0,3.0,3.0,3.4,3.0
118,Maggie (2015),3.5,3.3,95,2015,54,32,52,6.5,5.6,90,18986,22,2.7,1.6,2.6,3.2,2.8
119,The Salt of the Earth (2015),4.5,4.3,83,2015,96,90,83,7.8,8.4,13,6605,6,4.8,4.5,4.2,3.9,4.2
120,A Little Chaos (2015),4.0,3.9,83,2015,40,47,51,7.0,6.4,7,4778,-7,2.0,2.4,2.6,3.5,3.2
121,5 Flights Up (2015),4.0,3.6,79,2015,52,47,55,6.8,6.1,6,2174,5,2.6,2.4,2.8,3.4,3.0
122,Timbuktu (2015),4.0,3.6,74,2015,99,78,91,6.9,7.2,37,6246,21,5.0,3.9,4.6,3.4,3.6
123,Phoenix (2015),3.5,3.4,70,2015,99,81,91,8.0,7.2,21,3687,18,5.0,4.0,4.6,4.0,3.6
124,Song of the Sea (2014),4.5,4.3,66,2014,99,92,86,8.2,8.2,62,14067,7,5.0,4.6,4.3,4.1,4.1
125,The Wolfpack (2015),3.5,3.4,66,2015,84,73,75,7.0,7.1,8,1488,11,4.2,3.6,3.8,3.5,3.6
126,Leviathan (2014),4.0,3.5,64,2014,99,79,92,7.2,7.7,145,22521,20,5.0,4.0,4.6,3.6,3.8
127,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,63,2015,67,69,58,4.6,7.1,5,17237,-2,3.4,3.4,2.9,2.3,3.6
128,Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59,2015,100,81,90,7.3,7.8,19,1955,19,5.0,4.0,4.5,3.6,3.9
129,Welcome to Me (2015),4.0,3.6,56,2015,71,47,67,6.9,5.9,33,8301,24,3.6,2.4,3.4,3.4,3.0
130,Dark Places (2015),4.0,3.7,55,2015,26,33,39,7.9,6.3,18,9856,-7,1.3,1.6,2.0,4.0,3.2
131,Red Army (2015),4.5,4.1,54,2015,96,86,82,7.4,7.7,11,2275,10,4.8,4.3,4.1,3.7,3.8
132,The Stanford Prison Experiment (2015),4.0,3.9,51,2015,84,87,68,8.5,7.1,6,950,-3,4.2,4.4,3.4,4.2,3.6
133,Serena (2015),3.0,3.0,50,2015,18,25,36,5.3,5.4,19,12165,-7,0.9,1.2,1.8,2.6,2.7
134,Escobar: Paradise Lost (2015),4.0,3.9,48,2015,52,52,56,6.9,6.6,7,7819,0,2.6,2.6,2.8,3.4,3.3
135,When Marnie Was There (2015),4.5,4.1,46,2015,89,89,71,6.4,7.8,29,4160,0,4.4,4.4,3.6,3.2,3.9
136,Saint Laurent (2015),3.5,3.1,43,2015,51,45,52,6.8,6.3,8,2196,6,2.6,2.2,2.6,3.4,3.2
137,About Elly (2015),4.0,3.6,43,2015,97,86,87,9.6,8.2,23,20659,11,4.8,4.3,4.4,4.8,4.1
138,The Hunting Ground (2015),4.5,4.1,42,2015,92,72,77,7.8,7.5,6,1196,20,4.6,3.6,3.8,3.9,3.8
139,Seymour: An Introduction (2015),4.5,4.2,41,2015,100,87,83,6.0,7.7,4,243,13,5.0,4.4,4.2,3.0,3.8
140,"Kumiko, The Treasure Hunter (2015)",3.5,3.5,41,2015,87,63,68,6.4,6.7,19,5289,24,4.4,3.2,3.4,3.2,3.4
141,The Diary of a Teenage Girl (2015),4.0,3.6,38,2015,95,81,87,6.3,7.0,18,1107,14,4.8,4.0,4.4,3.2,3.5
142,The Wrecking Crew (2015),4.5,4.2,38,2015,93,84,67,7.0,7.8,4,732,9,4.6,4.2,3.4,3.5,3.9
143,Tangerine (2015),4.0,3.9,36,2015,95,86,86,7.3,7.4,14,696,9,4.8,4.3,4.3,3.6,3.7
144,Maps to the Stars (2015),3.5,3.1,35,2015,60,46,67,5.8,6.3,46,22440,14,3.0,2.3,3.4,2.9,3.2
